authorID,name,location,reviewCount,friendCount,photoCount
FHzNdJsvoTADQ031hacdlA,Dene B.,"Chicago, IL",78,76,26
A2IeQ1NCXdO_CIGektTE0A,Naomi Y.,"Chicago, IL",24,289,105
CfKT4Pr7QYIUlcq4fnKfgg,Clara S.,"Chicago, IL",597,337,958
mNXD6NMrIaJELMINSyP9_Q,Claire K.,"Chicago, IL",120,338,213
pc3Zi3gdug55rD4chvlCVQ,Katarina D.,"Minneapolis, MN",47,219,21
fVOwE7_6UsZkOaignZyv7Q,Haley K.,"Chicago, IL",22,418,0
jWUJsIt9FPwNYsl3ckJSoA,Rachel S.,"Chicago, IL",711,250,724
vUthM37V1IkWqy2laAzuhw,Stacy P.,"Chicago, IL",200,1939,3443
KWXVMVVvFAwvwyJCOW1FHg,Cory K.,"Austin, TX",232,79,37
1LIf1KxsMpwXSUMrEDQGog,Sara B.,"Indianapolis, IN",156,33,720
iYvA6Tmv08svRLh_jcUxUw,Ulric H.,"Chicago, IL",48,5,65
A-dn-C6ACFnkc_Lp3w2vEg,Sejal P.,"Chicago, IL",173,303,134
xqpIK4PcB7PA21MVEAkqeQ,Tia C.,"Indianapolis, IN",110,252,137
JUiHncYqF9qrJC4MiNfWsA,Becca H.,"Woodridge, IL",78,58,235
JCZXjV7tq9140qNSCdM_Vg,Carol L.,"Chicago, IL",114,602,282
UvpSUxJk8Ai9XHbDgi5YqQ,Tazeen L.,"Chicago, IL",164,121,380
1jIXdQb0fVFNKxfnrdG05A,Traveling P.,"Hilton Head Island, SC",9,0,17
pJoqqb6FXWd6-3WQIL3Xew,Katharine W.,"Roscoe, IL",28,2,33
2XTxprGOFYWT7E5U4QUqCw,Rachel S.,"Manhattan, NY",36,90,16
-ke0RTX08FW0VBclCEtbSg,Merissa Y.,"Chicago, IL",18,165,16
TExj5cyhpYqe-zPKWGQaNA,Eddie S.,"Fort Myers, FL",265,71,82
LzMRfiyI01GgW1552tZ0vQ,Kelly N.,"NORTH HOLLYWOOD, CA",179,16,166
fRFspes2RDHzJrxuQT2drA,Johnny M.,"Chicago, IL",21,3,0
ESzKIDiufkUrppRA-dPvug,Tiffany C.,"Indianapolis, IN",29,58,40
wLabJl1B9kRl4ExUYF-VgQ,Sanika R.,"Chicago, IL",3,2,0
ncsMzwu94d49QNAe6u_e_A,Nicole S.,"Schaumburg, IL",7,0,7
13OKPuRbi9ihsxh3D3FOhA,Toni F.,"Lemont, IL",445,184,256
MeIIBJC3lefCeQolzfCTkQ,Janine J.,"Chicago, IL",131,271,129
vximv2HTjbT9m90TZdWy8A,D S.,"Bolingbrook, IL",34,0,0
izxgHZIMWe331_W_lEvXhA,Meenarin P.,"Indianapolis, IN",93,72,390
